TimeOffset(s),Attention(%),Distractions,Confusion
1,100.0,0,LOW
2,100.0,0,LOW
3,93.3,6,LOW
4,75.0,25,LOW
5,55.0,45,LOW
6,37.0,63,MED
7,47.0,75,LOW
8,62.0,83,LOW
9,70.0,83,LOW
10,92.0,83,LOW
11,97.0,86,LOW
12,97.0,86,LOW
13,97.0,86,LOW
14,100.0,86,LOW
15,100.0,86,LOW
16,84.0,102,LOW
17,84.0,102,LOW
18,84.0,102,LOW
19,73.0,123,LOW
20,73.0,129,LOW
21,73.0,129,LOW
22,76.0,143,LOW
23,73.0,156,LOW
24,73.0,156,LOW
25,76.0,156,LOW
26,100.0,156,LOW
27,100.0,156,LOW
28,72.0,184,LOW
29,56.0,200,LOW
30,26.0,230,LOW
31,37.0,239,MED
32,50.0,239,LOW
33,69.0,251,MED
34,73.0,266,MED
35,64.0,275,MED
36,76.0,275,LOW
37,77.0,284,MED
38,83.0,290,MED
39,79.0,296,MED
40,76.0,305,MED
41,85.0,305,LOW
42,85.0,305,LOW
43,100.0,305,LOW
44,100.0,305,LOW
45,100.0,305,LOW
46,100.0,305,LOW
47,100.0,305,LOW
48,100.0,305,LOW
49,100.0,305,LOW
50,100.0,305,LOW
51,100.0,305,LOW
52,100.0,305,LOW
53,81.0,324,LOW
54,51.0,354,LOW
55,33.0,372,LOW
56,42.0,372,LOW
57,68.0,376,LOW
58,82.0,390,LOW
59,70.0,402,MED
60,63.0,409,MED
61,78.0,409,MED
62,93.0,409,LOW
